region_code,BLcode,country,year,sex,pri,sec,ter,lu,lp,lpc,ls,lsc,lh,lhc,tyr,pyr,syr,hyr,hc,hca,pop,Life expectancy (years),SuicideRate
Advanced Economies,131.0,Australia,1820.0,F,21.600942611694336,0.0,0.0,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1825.0,F,23.790178298950195,0.0,0.0,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1830.0,F,26.128276824951172,0.0015160352922976015,0.0,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1835.0,F,28.611013412475586,0.003977600950747728,0.0,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1840.0,F,31.23125457763672,0.008068677969276905,0.0,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1845.0,F,33.97882461547852,0.014663648791611196,0.0,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1850.0,F,36.84047317504883,0.02506253682076931,0.0005127559415996075,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1855.0,F,39.80001068115234,0.04118646681308746,0.0012040731962770224,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1860.0,F,42.83855438232422,0.06585895270109178,0.0023190388455986977,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1865.0,F,45.934959411621094,0.10320907831192017,0.004070397932082415,,,,,,,,,,,,,,,,
Advanced Economies,131.0,Australia,1870.0,F,49.06636428833008,0.15924637019634247,0.006768206600099802,64.62554931640625,35.302574157714844,8.566478729248049,0.07133036851882935,0.019550954923033714,0.019999999552965164,0.01049568597227335,1.3256922960281372,1.3215514421463013,0.0035309300292283297,0.0006099274614825845,1.1417580842971802,1.246867537498474,398.0,,
Advanced Economies,131.0,Australia,1875.0,F,52.20884323120117,0.24267569184303284,0.010861961171030998,61.61708068847656,38.266212463378906,10.467007637023926,0.112695150077343,0.02855953574180603,0.019999999552965164,0.008973176591098309,1.4754898548126218,1.4699584245681765,0.004952045157551765,0.0005794807220809162,1.1589900255203247,1.274677038192749,466.3285827636719,,
Advanced Economies,131.0,Australia,1880.0,F,55.33812713623047,0.3660426437854767,0.017000297084450722,54.88021087646485,44.73816680908203,11.809449195861815,0.37118735909461975,0.07949114590883255,0.020106293261051175,0.00789206475019455,1.7341969013214111,1.7199060916900637,0.013730757869780064,0.0005600135191343725,1.1893651485443115,1.3433843851089478,579.0,,
