Region,Country,Year,Sex,Primary enrollment (%),Secondary enrollment (%),Tertiary enrollment (%),No schooling (%),Primary schooling (%),Primary schooling complete (%),Secondary schooling (%),Secondary schooling complete (%),Tertiary schooling (%),Tertiary schooling complete (%),Total schooling (years),Total primary schooling (years),Total secondary schooling (years),Total tertiary schooling (years),Human capital,Human capital adjusted,Population (thousands),Life expectancy (years)
Advanced Economies,Australia,1885,F,58.430358887,0.547326863,0.026115352,48.631771088,48.108985901,12.767380714,3.245862722,0.615729153,0.020351900,0.007107321,2.133520842,2.022263765,0.110708050,0.000549183,1.237820387,1.591997743,698.317687988,49.049999
Advanced Economies,Australia,1895,F,52.051582336,1.196562648,0.059183445,41.545539856,52.802021027,14.805514336,5.624459267,1.181808352,0.031552758,0.009176036,2.562349081,2.367586851,0.193947583,0.000814584,1.292056203,1.782443643,998.896362305,52.950001
Advanced Economies,Australia,1905,F,60.406288147,2.545098543,0.129076049,28.711498260,61.077350616,18.581583023,10.156290054,2.561207771,0.054862943,0.014133601,3.362473249,3.002437353,0.358656019,0.001379956,1.399685144,2.127332449,1226.731933594,57
Advanced Economies,Australia,1925,F,77.115707397,10.423064232,0.569216907,10.712317467,61.745948792,24.210557938,23.445055008,7.122744560,4.096684456,1.168684602,5.387147903,4.231199741,1.050640821,0.105307318,1.713802814,3.305862188,1902.275146484,63.16
Advanced Economies,Australia,1930,F,81.293060303,14.378821373,0.814931095,7.992402077,58.697914124,24.681159973,28.289735794,9.022065163,5.019949913,1.504209995,5.910567284,4.499953270,1.280130863,0.130483240,1.805895805,3.583981276,2154,64.889999
Advanced Economies,Australia,1935,F,85.470413208,14.973808289,1.161658406,5.829698563,54.885337830,24.915473938,33.291431427,11.131133080,5.993534565,1.884482026,6.429724693,4.751121998,1.521042228,0.157560483,1.902126551,3.856606245,2154,65.089996
Advanced Economies,Australia,1940,F,89.647766113,19.008707047,1.648646593,4.430081367,51.415233612,25.087556839,37.284835815,13.182820320,6.869857311,2.306957960,6.853596210,4.944365501,1.725694299,0.183536351,1.984485388,4.082879543,2314.062011719,66.230003
Advanced Economies,Australia,1945,F,93.825119019,23.972959518,2.156323671,2.989878893,47.831233978,24.623853683,41.459400177,15.445958138,7.719483852,2.749979734,7.272450447,5.124385357,1.938675404,0.209389418,2.069371700,4.300646305,2496,68.449997
Advanced Economies,Australia,1950,F,98.002471924,34.970230103,5.552051544,1.167580247,44.256046295,28.720708847,45.369373322,21.838220596,9.206999779,4.185260773,7.989925861,5.463884830,2.258195639,0.267845243,2.223299980,4.684083939,2645,68.845
Advanced Economies,Australia,1955,F,100,39.663768768,3.434281826,1.005533218,39.719032288,23.559362411,49.188709259,25.491008759,10.086726189,4.585329056,8.238136292,5.454877853,2.489817619,0.293441057,2.279175282,4.826048851,2817,69.998
Advanced Economies,Australia,1960,F,82.295654297,54.252872467,7.070000172,0.845262825,34.896114349,19.229854584,53.239109039,29.820381165,11.019511223,5.037386417,8.544991493,5.479296684,2.744556427,0.321137905,2.350197077,4.967239857,3079,70.738
Advanced Economies,Australia,1965,F,83.878257751,55.172412872,9.710000038,0.660746038,29.229297638,15.617278099,57.496730804,35.073085785,12.601607323,5.567953587,8.971133232,5.551297188,3.056443930,0.363391340,2.452513218,5.119580269,3485,70.824
Advanced Economies,Australia,1970,F,91,73.563217163,11.199999809,0.642151117,19.484071732,10.222030640,69.671783447,46.241550446,10.161767006,5.094283104,9.645411491,5.681196213,3.659094095,0.305121094,2.623583555,5.300389290,3905,71.16
Advanced Economies,Australia,1975,F,97,80,19.799999237,1.296578646,10.257415771,5.177761555,72.009841919,50.751960754,16.436161041,7.607166290,10.511703491,5.769815445,4.261020660,0.480866671,2.860997438,5.496707916,4266,72.626
Advanced Economies,Australia,1980,F,100,78,23.899999619,0.802329779,5.056064129,2.412316561,71.486389160,53.342700958,22.676776886,10.551131248,11.271854401,5.873841286,4.733455181,0.664558232,3.086955786,5.578724384,4703,74.39
Advanced Economies,Australia,1985,F,97,87,27,1.055751204,7.454972744,3.520217896,67.264137268,53.088062286,24.243064880,12.477569580,11.316450119,5.819688320,4.762349606,0.734412730,3.100753069,5.532852173,5125,75.639
Advanced Economies,Australia,1990,F,98,79,38.200000763,1.005928040,9.345088005,4.781709194,62.994388580,52.383964539,26.684320450,14.937208176,11.360220909,5.804526806,4.723263741,0.832430542,3.114355087,5.442974567,5564,76.933
Advanced Economies,Australia,1995,F,99.849060059,90,73.5,1.203545451,10.283523560,5.824514389,56.991340637,49.636764526,31.521585464,17.059700012,11.481852531,5.794016838,4.716210365,0.971625686,3.152466774,5.362917423,5977,78.267
Advanced Economies,Australia,2000,F,95,100,72,0.827707171,10.606264114,6.376785755,63.099124908,57.941089630,25.466903687,15.557512283,11.388456345,5.823452950,4.744515419,0.820488334,3.123161077,5.167377949,6388,79.592
Advanced Economies,Australia,2005,F,95,100,79,0.654663026,9.061347008,5.771603584,59.102081299,55.182559967,31.181907654,19.403844833,11.780900955,5.862027645,4.907158375,1.011714816,3.248164654,5.169419289,6853,80.952
Advanced Economies,Australia,2010,F,97,100,93,0.534649551,7.237514019,4.685125351,58.913604736,35.520599365,33.314228058,21.755329132,11.767972946,5.986990929,4.679590702,1.101391196,3.243968010,6.177690983,7239,81.944
Advanced Economies,Australia,1885,M,99.989997864,0.639617682,0.281347007,26.328508377,72.605857849,8.132751465,0.917568386,0.193095431,0.147820175,0.052790273,2.528873682,2.486081600,0.038779970,0.004012190,1.287738204,1.557372808,872.635253906,49.049999
Advanced Economies,Australia,1895,M,99.989997864,1.396961689,0.653367043,9.704219818,88.180755615,13.745042801,1.747817278,0.418022811,0.365178734,0.150320590,3.273917675,3.184553862,0.079053916,0.010309899,1.387344837,1.800187707,1106.32421875,52.950001
Advanced Economies,Australia,1905,M,99.989997864,2.961116314,1.440834761,16.093349457,79.780387878,17.177709579,3.303102255,0.899942219,0.823156416,0.373224676,3.338495970,3.156318665,0.158249721,0.023927594,1.396333098,2.014761686,1286.460083008,57
Advanced Economies,Australia,1925,M,99.989997864,11.941267014,2.716887712,7.852568150,63.922779083,20.897487640,22.705278397,8.014386177,5.521754265,2.981044054,5.525819778,4.238229752,1.117533803,0.170056134,1.737734079,3.488018990,1967.655517578,63.16
Advanced Economies,Australia,1930,M,99.989997864,16.351516724,2.851852655,6.139041424,58.974464417,21.625669479,28.168273926,10.617972374,6.720611095,3.806274176,6.115313053,4.511337280,1.393438220,0.210537702,1.843251824,3.809727907,2226,64.889999
Advanced Economies,Australia,1935,M,99.989997864,17.028133392,2.823622704,4.367253304,54.313480377,22.310167313,33.440803528,13.429036140,7.880868912,4.659939766,6.694674015,4.778009892,1.665848255,0.250815928,1.953196764,4.108799934,2226,65.089996
Advanced Economies,Australia,1940,M,99.989997864,22.203683853,4.035490990,3.071120739,50.345825195,22.916597366,37.251396179,15.830743790,9.333951950,5.677392483,7.194075108,4.992993832,1.900854468,0.300226927,2.053216457,4.366150856,2363.068847656,66.230003
Advanced Economies,Australia,1945,M,99.989997864,27.635562897,4.875409603,1.715470791,46.163715363,22.793987274,41.415489197,18.677541733,10.705330849,6.625644207,7.693881512,5.195980072,2.151282072,0.346619457,2.158445120,4.610449791,2526,68.449997
Advanced Economies,Australia,1950,M,98.182762146,45.885681152,10.713059425,1.188538909,40.734184265,25.654216766,44.910697937,25.604671478,13.166582108,9.004215240,8.437447548,5.476288319,2.517743349,0.443415821,2.325057507,4.960774422,2727,68.845
Advanced Economies,Australia,1955,M,99.989997864,52.470897675,8.299138069,1.003676414,36.098163605,21.606456757,48.618492126,29.201644897,14.279667854,9.546199799,8.738117218,5.505028248,2.756571054,0.476517349,2.396026373,5.079626560,2946,69.998
Advanced Economies,Australia,1960,M,80.747497559,38.759300232,18.796470642,0.833939672,32.007408142,18.124870300,51.843029022,32.897178650,15.315624237,10.078704834,9.020389557,5.533487320,2.979015589,0.507886410,2.464623213,5.168966293,3235,70.738
Advanced Economies,Australia,1965,M,73.062759399,57.373737335,21.965959549,0.684687138,26.959987640,15.134481430,55.162895203,37.124473572,17.126619339,10.663058281,9.409706116,5.600205421,3.253707170,0.555793583,2.562467337,5.263029099,3644,70.824
Advanced Economies,Australia,1970,M,91,75.318923950,21.765697479,0.636919320,19.415769577,10.670188904,50.020511627,36.209648132,29.984157562,20.758550644,10.576388359,5.702858925,3.858675241,1.014854193,2.879563808,5.571732998,4090,71.16
Advanced Economies,Australia,1975,M,95.049728394,78.043983459,28.051345825,0.667823672,10.621265411,5.730405807,61.583137512,46.433666229,27.127777100,17.176485062,11.100358009,5.813204765,4.401068687,0.886085212,3.034466982,5.573642731,4417,72.626
Advanced Economies,Australia,1980,M,99.989997864,74.081069946,26.849113464,0.629769564,5.286239624,2.790650129,67.156562805,52.513454437,26.899148941,16.291419983,11.547924995,5.885013580,4.800657749,0.862254143,3.173364878,5.556988716,4830,74.39
Advanced Economies,Australia,1985,M,97,85.041854858,28.375904083,0.913970113,7.091342449,4.208846092,65.241981506,53.507659912,26.752706528,16.392045975,11.558349609,5.856746674,4.839210987,0.862392426,3.176674604,5.506557941,5260,75.639
Advanced Economies,Australia,1990,M,98,77.042739868,32.881328583,0.790933073,8.646112442,5.763333797,63.717712402,54.576744080,26.816381454,16.328355789,11.524333000,5.864329338,4.797109604,0.862894654,3.165887117,5.396215916,5732,76.933
Advanced Economies,Australia,1995,M,99.849060059,88.042144775,69.948974609,1.028050661,9.650108337,6.765249252,60.451385498,53.870628357,28.870454788,16.749137878,11.532867432,5.851770878,4.768704414,0.912391663,3.168590069,5.297313213,5964,78.267
Advanced Economies,Australia,2000,M,95,99.989997864,58.136817932,0.709319472,10.231884956,7.446118832,67.744934082,62.999584198,21.313861847,13.922153473,11.347895622,5.873867512,4.769307613,0.704720378,3.110518932,5.094989300,6323,79.592
Advanced Economies,Australia,2005,M,95,99.989997864,63.246551514,0.561469913,9.404022217,7.081691265,64.562767029,61.039524078,25.471742630,16.638341904,11.630592346,5.896642208,4.891748905,0.842201829,3.199707031,5.089141369,6788,80.952
Advanced Economies,Australia,2010,M,95.051551819,99.989997864,67.642250061,0.470236003,7.895110130,6.055344582,64.430160522,43.213794708,27.204490662,18.450859070,11.612728119,6.017838478,4.681782246,0.913107157,3.193995953,6.023953915,7181,81.944
Advanced Economies,Australia,1885,MF,98.389114380,0.594259918,0.159421042,36.242721558,61.716548920,11.279532433,1.952538490,0.393483341,0.091158174,0.030819410,2.385947466,2.312504053,0.071003728,0.002439482,1.269464016,1.584272146,1570.952880859,49.049999
Advanced Economies,Australia,1895,MF,98.389114380,1.297426224,0.362624139,24.812458038,71.394058228,15.489185333,3.587226868,0.807919681,0.206878081,0.072323546,2.973846912,2.834143877,0.134119108,0.005584053,1.346333146,1.804925203,2105.220703125,52.950001
Advanced Economies,Australia,1905,MF,100,2.754293203,0.790434897,22.252485275,70.651123047,18.296281815,6.648260117,1.744408607,0.448139280,0.160091788,3.363113642,3.094206095,0.256742954,0.012164648,1.399774790,2.076387405,2513.191894531,57
Advanced Economies,Australia,1925,MF,100,11.189275742,1.650042176,9.258285522,62.852752686,22.558019638,23.068918228,7.582921505,4.821257114,1.974869370,5.456445217,4.235733509,1.084788918,0.135922670,1.725720286,3.399693489,3869.930664063,63.16
Advanced Economies,Australia,1930,MF,100,15.380840302,1.854827881,7.050488949,58.838462830,23.125745773,28.228006363,9.834768295,5.884258747,2.533707380,6.011770248,4.505661964,1.337748528,0.168359354,1.824264765,3.700423002,4380,64.889999
Advanced Economies,Australia,1935,MF,99.523582458,16.017290115,2.010130644,5.086455822,54.594707489,23.578189850,33.367343903,12.295588493,6.952713966,3.134257078,6.560697556,4.764390469,1.594567895,0.201739416,1.927203059,3.987074375,4380,65.089996
Advanced Economies,Australia,1940,MF,99.047164917,20.610174179,2.856870651,3.743481398,50.874927521,23.976182938,37.267940521,14.520682335,8.114813805,3.818411112,7.021355629,4.968498707,1.814192653,0.238664329,2.018057823,4.229390144,4677.130859375,66.230003
Advanced Economies,Australia,1945,MF,98.570755005,25.784088135,3.522406101,2.348868370,46.992492676,23.692403793,41.437313080,17.072267532,9.221325874,4.485151291,7.479825497,5.160065174,2.045630932,0.274129719,2.112733364,4.461409092,5022,68.449997
Advanced Economies,Australia,1950,MF,98.094337463,40.531883240,8.188991547,1.178219557,42.468235016,27.148691177,45.136535645,23.765451431,11.217010498,6.405596256,8.212428093,5.469720364,2.390255690,0.352452248,2.273323298,4.832176208,5372,68.845
Advanced Economies,Australia,1955,MF,100,46.226123810,5.942234039,1.004583955,37.868072510,22.581157684,48.897216797,27.407142639,12.230125427,6.897630215,8.490238190,5.481117249,2.626565695,0.382555068,2.337363958,4.963208675,5763,69.998
Advanced Economies,Australia,1960,MF,81.504348755,46.310344696,13.099999428,0.839461386,33.416072845,18.671529770,52.523826599,31.425287247,13.220639229,7.401376247,8.784988403,5.507296085,2.865252256,0.412440181,2.407283306,5.076567650,6314,70.738
Advanced Economies,Australia,1965,MF,78.339126587,56.298851013,16,0.672983587,28.069335938,15.373769760,56.303787231,36.158115387,14.914574623,7.958423138,9.191859245,5.576394558,3.158004522,0.457459837,2.507248402,5.197164536,7129,70.824
Advanced Economies,Australia,1970,MF,91,74.459770203,16.600000381,0.639474690,19.449131012,10.444567680,59.618785858,41.424137115,20.302301407,12.190782547,10.109423637,5.692076206,3.767486095,0.649861693,2.748189688,5.447888374,7995,71.16
Advanced Economies,Australia,1975,MF,96,79,24,0.976734042,10.442503929,5.444259167,66.705825806,48.701595306,21.874933243,12.021057129,10.804556847,5.791448593,4.335188866,0.677919865,2.946021795,5.537332058,8683,72.626
Advanced Economies,Australia,1980,MF,100,76,25.400001526,0.714717269,5.170795918,2.607164621,69.255165100,52.933452606,24.794839859,13.273691177,11.403392792,5.876338959,4.765682220,0.761370361,3.127829313,5.564802170,9533,74.39
Advanced Economies,Australia,1985,MF,97,86,27.700000763,0.983065903,7.263592243,3.876616716,66.198143005,53.300094604,25.506271362,14.355400085,11.433768272,5.836471081,4.800063133,0.797233343,3.137344837,5.516585350,10385,75.639
Advanced Economies,Australia,1990,MF,98,78,35.5,0.896831810,8.990402222,5.287678719,63.361434937,53.505332947,26.751333237,15.594446182,11.442933083,5.835108280,4.760909557,0.846915603,3.140221357,5.419685841,11296,76.933
Advanced Economies,Australia,1995,MF,99.849060059,89,71.699996948,1.115893483,9.967161179,6.308005333,58.719478607,51.745876312,30.197463989,16.873073578,11.507000923,5.823271751,4.742318153,0.941410899,3.160404682,5.330775261,11941,78.267
Advanced Economies,Australia,2000,MF,95,100,65,0.768815994,10.420031548,6.924474239,65.410148621,60.447074890,23.401000977,14.732593536,11.368317604,5.849004269,4.756641388,0.762671947,3.116877794,5.132241249,12711,79.592
Advanced Economies,Australia,2005,MF,95,100,71,0.608288467,9.231867790,6.423510075,61.819412231,58.080947876,28.340431213,18.020021439,11.705621719,5.879251957,4.899160862,0.927209139,3.223804474,5.130573273,13641,80.952
Advanced Economies,Australia,2010,MF,96,100,80,0.502572298,7.564989567,5.354429245,61.660793304,39.237274170,30.271646500,20.110784531,11.687997818,6.001960754,4.678387642,1.007648587,3.218127966,6.104274750,14420,81.944
Advanced Economies,Austria,1870,F,28.715480804,0,0.029982453,81.397743225,18.602266312,9.887652397,0.020000001,0.004469858,0.028201856,0.009883654,1.147449493,1.143452883,0.003234943,0.000761713,1.121587396,1.264569521,6408.120117188,34.400002
Advanced Economies,Austria,1950,F,100,6.124775887,0.931027591,1.905315518,94.441497803,59.954528809,3.005602360,1.334789157,0.647591829,0.320124656,5.684744835,5.439967632,0.225423008,0.019354319,1.765571594,2.648598433,2526,66.033
Advanced Economies,Austria,1955,F,100,15.193314552,0.761043370,1.654419541,94.151344299,60.465881348,3.483990669,1.462724090,0.710248947,0.354407996,5.447189808,5.171208382,0.254688531,0.021293094,1.724123836,2.615930080,2493,67.244
Advanced Economies,Austria,1960,F,91.485145569,45,3.799999952,1.468219042,90.300346375,58.941333771,7.374747276,2.986567020,0.856692314,0.420781642,5.432992935,4.924455166,0.482987940,0.025549497,1.721677780,2.847099304,2481,68.919
Advanced Economies,Austria,1965,F,91.485145569,47.755100250,4.440000057,2.128288984,78.109199524,53.070251465,18.718153000,8.760221481,1.044355869,0.523364663,5.932280540,4.718242645,1.182683349,0.031354479,1.809821248,3.498659134,2441,69.973
Advanced Economies,Austria,1970,F,89.742576599,67.040817261,7,2.076017380,66.657905579,46.444122314,29.932809830,14.342852592,1.311955452,0.669873476,6.394261360,4.478641987,1.875982881,0.039636523,1.895392895,3.916451931,2407,70.41
Advanced Economies,Austria,1975,F,88,68.877548218,14.399999619,0.802744508,61.278213501,43.392856598,36.304080963,18.572660446,1.614957809,0.818246901,6.577663898,4.204732895,2.324266434,0.048664138,1.930475593,4.087058544,2428,71.43
Advanced Economies,Austria,1980,F,88,69.795921326,20.299999237,0.100000001,55.362403870,40.414588928,42.957057953,23.292554855,1.600562930,0.874245465,6.766531467,3.939005375,2.778029442,0.049496181,1.967282534,4.214079380,2487,72.679
Advanced Economies,Austria,1985,F,86,74.387756348,24.299999237,0.397281975,49.931972504,37.061691284,46.010883331,27.019010544,3.760101318,1.928161502,7.066482067,3.730712891,3.222003698,0.113765351,2.027185202,4.406075954,2601,74.139
Advanced Economies,Austria,1990,F,91,90,32.799999237,0.853474915,43.561725616,32.794860840,50.672676086,31.099620819,4.912120819,3.018619537,7.573000431,3.750523567,3.663861513,0.158614770,2.132510662,4.639355659,2608,75.596
Advanced Economies,Austria,1995,F,97.970001221,95.949996948,46.799999237,1.330112696,36.070545197,27.899353027,53.863349915,34.556907654,8.735991478,4.852771759,8.290836334,3.783371449,4.235689163,0.271775335,2.291218281,4.938723087,2680,76.823
Advanced Economies,Austria,2000,F,100,93.648208618,59,1.502122998,31.114753723,24.461351395,55.432819366,37.291198730,11.950302124,6.909469128,8.849027634,3.806847095,4.664985180,0.377195328,2.422748804,5.134653568,2715,78.239
Advanced Economies,Austria,2005,F,98.926193237,97.550216675,51,1.521678567,26.194198608,20.926000595,59.295299530,42.168655396,12.988825798,8.271969795,9.356649399,3.833769083,5.097664356,0.425215811,2.548907757,5.261196613,2748,79.567
Advanced Economies,Austria,2010,F,97.860130310,96.736801147,74,1.516184926,22.969282150,18.565204620,60.632186890,43.496559143,14.882346153,9.576013565,9.696175575,3.851270914,5.355737686,0.489167213,2.636935711,5.352263927,2739,80.622
Advanced Economies,Austria,1870,M,64.932083130,7.109122753,1.679139614,43.341800690,53.041034698,15.776591301,2.480519772,0.409789622,1.177911282,0.440181792,3.287586689,3.045379400,0.209845290,0.032362003,1.389242530,2.247817278,6005.807617188,34.400002
Advanced Economies,Austria,1950,M,99.989997864,23.059961319,11.900674820,2.984355450,87.195495605,53.874927521,6.188702583,3.445064306,3.631454706,2.846085548,6.152796268,5.347378254,0.675867021,0.129550695,1.850173831,3.563770771,2109,66.033
Advanced Economies,Austria,1955,M,99.989997864,25.478719711,2.995340586,2.550950289,87.312194824,55.370414734,6.528670788,3.591400623,3.608191013,2.772842169,5.879812717,5.058733940,0.693458140,0.127620697,1.800350308,3.456580400,2124,67.244
Advanced Economies,Austria,1960,M,90.534049988,52.903495789,12.031912804,2.285619974,80.973983765,51.065631866,12.929433823,7.117112637,3.685209513,2.769369602,5.977698803,4.751928806,1.096678615,0.129091561,1.818059802,3.696429253,2159,68.919
Advanced Economies,Austria,1965,M,92.493377686,54.123958588,13.374835014,3.165527582,59.249549866,40.169715881,33.756889343,21.286752701,3.828036070,2.810222626,7.285889149,4.645135403,2.507988453,0.132765204,2.072154522,4.597211361,2173,69.973
Advanced Economies,Austria,1970,M,94.158233643,68.921798706,16.431478500,2.948096991,42.179618835,30.715988159,50.708148956,32.620761871,4.146911144,2.973634720,8.279637337,4.472317696,3.664909124,0.142410964,2.288653612,5.032612324,2189,70.41
Advanced Economies,Austria,1975,M,89.955833435,73.058105469,23.251340866,1.029913425,39.030330658,29.250213623,55.564624786,36.870616913,4.375126839,3.114172697,8.435530663,4.238324165,4.047419548,0.149786115,2.324611902,5.029948235,2263,71.43
Advanced Economies,Austria,1980,M,86.041358948,68.844009399,26.058275223,0.100000001,35.718795776,27.611831665,60.120918274,41.354766846,3.986253500,2.993003368,8.528141975,4.010628700,4.377927780,0.139585078,2.346240282,4.993412971,2357,72.679
Advanced Economies,Austria,1985,M,86,70.081764221,28.443582535,0.698522687,32.358360291,25.376668930,61.385803223,44.107055664,5.537068844,3.638827324,8.677812576,3.831615210,4.662679672,0.183518186,2.381620884,5.004041672,2514,74.139
Advanced Economies,Austria,1990,M,91,90,37.513202667,1.423608065,28.148622513,22.283775330,64.327613831,47.032604218,6.100154877,4.137671947,8.972936630,3.825758696,4.942421436,0.204756618,2.452955484,5.084659100,2619,75.596
Advanced Economies,Austria,1995,M,96.079536438,99.682975769,46.406970978,1.956741214,22.411302567,18.140167236,64.507766724,47.872173309,11.124183655,6.867893219,9.581281662,3.836307526,5.385132790,0.359841645,2.606812477,5.262614250,2737,76.823
Advanced Economies,Austria,2000,M,99.989997864,98.196258545,55.040561676,1.789196134,19.461444855,15.918745041,64.098022461,48.898178101,14.651335716,9.228999138,10.027139664,3.857578278,5.691955090,0.477606744,2.725669146,5.358327866,2778,78.239
Advanced Economies,Austria,2005,M,98.592460632,98.289978027,43.133205414,1.742513776,16.561573029,13.736596107,64.492866516,50.435531616,17.203048706,11.651180267,10.424263954,3.873799801,5.973379612,0.577084661,2.836090088,5.422178268,2803,79.567
Advanced Economies,Austria,2010,M,97.235557556,96.044425964,64.149406433,1.709020138,15.723361015,13.161211014,64.789894104,51.732254028,17.777721405,12.091898918,10.560892105,3.880396128,6.083104134,0.597392261,2.875105143,5.417782307,2838,80.622
Advanced Economies,Austria,1870,MF,46.75,3.484524012,0.836103141,62.986431122,35.263603210,14.938817978,1.210389376,0.216777086,0.584426582,0.212761804,2.271466494,2.151682138,0.103840776,0.015943693,1.255013943,1.851672053,12413.927734375,34.400002
Advanced Economies,Austria,1950,MF,100,14.635001183,6.199726105,2.396296263,91.144447327,57.154106140,4.453964233,2.203466415,2.005297661,1.252798200,5.888528824,5.396645546,0.426721036,0.065161899,1.801920176,3.115604639,4635,66.033
Advanced Economies,Austria,1955,MF,100,20.439409256,1.887224793,2.066858530,91.005065918,58.101539612,4.884662628,2.328324318,2.043415308,1.266755700,5.636897564,5.118701458,0.451992720,0.066203453,1.757143974,3.044975996,4617,67.244
Advanced Economies,Austria,1960,MF,91,49.038459778,8,1.848556995,85.960769653,55.228385925,9.959353447,4.733404636,2.172806025,1.326956153,5.674176693,4.842646122,0.761534810,0.069995210,1.763706684,3.279750347,4640,68.919
Advanced Economies,Austria,1965,MF,92,51,9,2.616784811,69.227104187,46.966899872,25.800764084,14.051493645,2.355352163,1.430427194,6.540704727,4.682470322,1.782518387,0.075715579,1.923353910,4.061100960,4614,69.973
Advanced Economies,Austria,1970,MF,92,68,11.800000191,2.491374493,54.999298096,39.049121857,39.827766418,22.161954880,2.662198782,1.611010075,7.255645275,4.477616310,2.692564726,0.085464060,2.065896988,4.504971504,4596,70.41
Advanced Economies,Austria,1975,MF,89,71,18.899999619,0.912333786,50.545547485,36.703365326,45.595623016,26.616716385,2.946499586,1.783453107,7.442687988,4.223875046,3.124213457,0.094599009,2.104901791,4.591479778,4691,71.43
Advanced Economies,Austria,1980,MF,87,69.313529968,23.200000763,0.100000001,45.804191589,34.296913147,51.308670044,31.390115738,2.761395693,1.770910263,7.595699787,3.976190329,3.528862953,0.090646192,2.137356997,4.635271072,4844,72.679
Advanced Economies,Austria,1985,MF,86,72.196456909,26.399999619,0.545340478,41.294620514,31.408708572,53.567588806,34.831550598,4.633472919,2.680994272,7.835041523,3.782109261,3.906643391,0.146289349,2.189129829,4.733437538,5115,74.139
Advanced Economies,Austria,1990,MF,91,90,35.200000763,1.139141321,35.838958740,27.608194351,57.514514923,38.604957581,5.507387638,3.530986547,8.255955696,3.789819241,4.285369396,0.180767626,2.283240080,4.891104221,5227,75.596
Advanced Economies,Austria,1995,MF,97,97.849998474,46.599998474,1.646723747,29.169059753,23.030113220,59.241565704,40.939903259,9.942652702,5.801915646,8.928914070,3.811352015,4.802670956,0.314891338,2.442180872,5.129467010,5417,76.823
Advanced Economies,Austria,2000,MF,100,95.969451904,57,1.647305727,25.221273422,20.173545837,59.815113068,42.910533905,13.316308975,7.996819019,9.433746338,3.833153486,5.174330711,0.426262498,2.568634987,5.272223473,5493,78.239
Advanced Economies,Austria,2005,MF,98.755371094,97.928009033,47,1.633190155,21.330163956,17.312084198,61.919830322,46.207271576,15.116814613,9.878221512,9.888640404,3.854310751,5.534429550,0.499900728,2.688179016,5.363212585,5551,79.567
Advanced Economies,Austria,2010,MF,97.539306641,96.383407593,69,1.614314198,19.282009125,15.817142487,62.747943878,47.560764313,16.355731964,10.774239540,10.129536629,3.866130114,5.720807076,0.542599320,2.753722668,5.404003620,5577,80.622
Advanced Economies,Belgium,1845,F,11.981683731,0,0,,,,,,,,,,,,,,,41.02
Advanced Economies,Belgium,1850,F,13.567049980,0.000800961,0.000682224,,,,,,,,,,,,,,,42.27
Advanced Economies,Belgium,1855,F,15.326070786,0.002069482,0.001023075,,,,,,,,,,,,,,,37.419998
Advanced Economies,Belgium,1860,F,17.268112183,0.004257128,0.001510952,,,,,,,,,,,,,,,45.07
Advanced Economies,Belgium,1865,F,19.400512695,0.007909961,0.002204654,,,,,,,,,,,,,,,37.689999
Advanced Economies,Belgium,1870,F,21.727909088,0.013869541,0.003185428,80.336166382,16.558467865,5.209651470,3.115102053,0.467958570,0.017776620,0.006107654,0.950052440,0.841016352,0.108558424,0.000477690,1.099664569,1.402823567,1552.832153320,40.900002
Advanced Economies,Belgium,1875,F,24.251531601,0.023424180,0.004565279,65.686218262,28.896654129,8.453474998,5.401774406,0.900509596,0.015353974,0.005575569,1.635939956,1.445531487,0.189989746,0.000418666,1.177736044,1.610808730,1603.131835938,42.130001
Advanced Economies,Belgium,1880,F,26.968547821,0.038534626,0.006498273,62.125465393,30.775831223,9.813534737,7.084644794,1.236682653,0.014057156,0.005396912,1.894475460,1.643603086,0.250483245,0.000389043,1.208581686,1.720797539,1656,42.439999
Advanced Economies,Belgium,1885,F,29.871486664,0.062169470,0.009195920,60.125614166,32.427787781,11.237462997,7.432515621,1.366824269,0.014079175,0.006047016,2.021980524,1.756753206,0.264824957,0.000402450,1.224090457,1.765182018,1769.755859375,45.43
Advanced Economies,Belgium,1890,F,55.212390900,0.098801561,0.012948046,62.719551086,30.846218109,11.216573715,6.421640396,1.262223125,0.015028638,0.007203647,1.879946232,1.648083925,0.231417626,0.000444735,1.206827044,1.722521544,1843,44.09
Advanced Economies,Belgium,1895,F,61.994792938,0.155138910,0.018151114,61.134193420,33.473896027,13.256549835,5.376907349,1.083793163,0.016996553,0.008345588,1.920895338,1.725547671,0.194840834,0.000506884,1.211778998,1.693581343,1976.651367188,45.43
Advanced Economies,Belgium,1900,F,74.096435547,0.241194472,0.025346577,58.198108673,38.683315277,16.576358795,3.098586559,0.640404642,0.021497088,0.010439362,1.959093451,1.844995141,0.113459557,0.000638728,1.216416597,1.597549319,2102,46.52
Advanced Economies,Belgium,1905,F,73.789764404,0.371838659,0.035272755,54.290241241,45.526611328,20.652200699,0.162476122,0.031084858,0.027908472,0.013428926,2.005095482,1.996787429,0.007481338,0.000826795,1.222025275,1.367718935,2249.248535156,49.919998
Advanced Economies,Belgium,1910,F,77.680122375,0.569026887,0.048934899,56.458240509,43.076103210,20.682947159,0.427856684,0.081959769,0.041762583,0.023714112,1.960058451,1.940948606,0.017800247,0.001309564,1.216534019,1.409109712,2343,51.310001
