education_change_rate,life_expectancy_change_rate,region_code
0.06664081824204278,0.28563769547619017,Advanced Economies
0.07549840692225514,0.4477299719887954,Asia and the Pacific
0.0621224406324787,0.29255445185185186,Eastern Europe
0.0614512980852598,0.30959414074074093,Latin America and the Caribbean
0.06203410604194123,0.3038869478260871,Middle East and North Africa
0.07339944874365179,0.3319895428571431,Sub-Saharan Africa
